"evseid","operatorname","num_occupied","num_tot","lat","lng","occupied_ratio"
"CH*REPE112*01*2","PLUG’N ROLL","2282","18790","46.6058390096118","9.42692200947153","0.12144757849920170303"
"CH*REPE112*01*2","PLUG’N ROLL","2282","18790","46.6058390096118","9.42692200947153","0.12144757849920170303"
"CH*SWIEE6342","Swisscharge","1961","16148","47.5571140104851","7.57046500736526","0.12143918751548179341"
"CH*SWIEE6342","Swisscharge","1961","16148","47.5571140104851","7.57046500736526","0.12143918751548179341"
"CH*SWIEE6342","Swisscharge","1961","16148","47.5571140104851","7.57046500736526","0.12143918751548179341"
"CH*SWIEE30991","Swisscharge","1329","10992","46.9157200102606","7.56272200752529","0.12090611353711790393"
"CH*SWIEE30991","Swisscharge","1329","10992","46.9157200102606","7.56272200752529","0.12090611353711790393"
"CH*SWIEE30991","Swisscharge","1329","10992","46.9157200102606","7.56272200752529","0.12090611353711790393"
"CH*CCI*E20012","Move","2050","17502","46.966351010447","6.85590500674957","0.11712947091760941607"
"CH*CCI*E20012","Move","2050","17502","46.966351010447","6.85590500674957","0.11712947091760941607"
"CH*CCI*E20012","Move","2050","17502","46.966351010447","6.85590500674957","0.11712947091760941607"
"CH*SWIEE11043","Swisscharge","2212","18899","47.0570490101189","8.30985900825789","0.11704322980051854595"
"CH*SWIEE11043","Swisscharge","2212","18899","47.0570490101189","8.30985900825789","0.11704322980051854595"
"CH*SWIEE11043","Swisscharge","2212","18899","47.0570490101189","8.30985900825789","0.11704322980051854595"
"CH*REPE093*01*1","PLUG’N ROLL","2181","18790","47.5644610101804","8.68296400846801","0.11607237892496008515"
"CH*REPE093*01*1","PLUG’N ROLL","2181","18790","47.5644610101804","8.68296400846801","0.11607237892496008515"
"CH*REPE093*01*1","PLUG’N ROLL","2181","18790","47.5644610101804","8.68296400846801","0.11607237892496008515"
"CH*SWIEE1155","Swisscharge","2142","18640","47.3648180101558","8.55699800841025","0.11491416309012875536"
"CH*SWIEE1155","Swisscharge","2142","18640","47.3648180101558","8.55699800841025","0.11491416309012875536"
"CH*SWIEE1155","Swisscharge","2142","18640","47.3648180101558","8.55699800841025","0.11491416309012875536"
"CH*SWIEE4241","Swisscharge","1930","17133","47.5523950104797","7.58587900738247","0.11264810599428004436"
"CH*SWIEE4241","Swisscharge","1930","17133","47.5523950104797","7.58587900738247","0.11264810599428004436"
"CH*SWIEE4241","Swisscharge","1930","17133","47.5523950104797","7.58587900738247","0.11264810599428004436"
"CH*CCI*E20086","Move","2044","18291","46.7946000103137","7.13282300709172","0.11174894756984309223"
