"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*EBB*2837*5","Move","01010000200808000021D20296F8E344412133EBD873573341","1267571.84733886","2738161.17196108","157","18429","22",4,4,"0.00851918172445602040"
"CH*SWIEE30992","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","843","11265","11",3,3,"0.07483355525965379494"
"CH*SWIEE30992","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","843","11265","11",3,3,"0.07483355525965379494"
"CH*SWIEE30992","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","843","11265","11",3,3,"0.07483355525965379494"
"CH*REPE131*02*1","PLUG’N ROLL","010100002008080000678AF1CEA742454155C6EFEA45A53141","1156421.91772117","2786639.61674624","79","18731","22.08",5,42,"0.00421760717527094122"
"CH*REPE131*02*1","PLUG’N ROLL","010100002008080000678AF1CEA742454155C6EFEA45A53141","1156421.91772117","2786639.61674624","79","18731","22.08",5,45,"0.00421760717527094122"
"CH*REPE131*02*1","PLUG’N ROLL","010100002008080000678AF1CEA742454155C6EFEA45A53141","1156421.91772117","2786639.61674624","79","18731","22.08",5,46,"0.00421760717527094122"
"CH*CCI*E20245","Move","010100002008080000602DF1A180564441DA6F9CD4FA6C3241","1207546.83051204","2665729.26517265","3","18425","22",3,110,"0.00016282225237449118"
"CH*CCI*E20245","Move","010100002008080000602DF1A180564441DA6F9CD4FA6C3241","1207546.83051204","2665729.26517265","3","18425","22",3,102,"0.00016282225237449118"
"CH*CCI*E20245","Move","010100002008080000602DF1A180564441DA6F9CD4FA6C3241","1207546.83051204","2665729.26517265","3","18425","22",3,111,"0.00016282225237449118"
"CH*SWIEE8444","Swisscharge","0101000020080800003D73560BBBD844418B1AC62A7A0B3341","1248122.16708532","2732406.08857575","456","17459","11",7,34,"0.02611833438341256658"
"CH*SWIEE8444","Swisscharge","0101000020080800003D73560BBBD844418B1AC62A7A0B3341","1248122.16708532","2732406.08857575","456","17459","11",7,34,"0.02611833438341256658"
"CH*SWIEE8444","Swisscharge","0101000020080800003D73560BBBD844418B1AC62A7A0B3341","1248122.16708532","2732406.08857575","456","17459","11",7,36,"0.02611833438341256658"
"CH*SWIEE27506","Swisscharge","01010000200808000039E661B915E94341FCB7E29F3C833241","1213244.6245532","2609707.44830015","105","18764","100",5,8,"0.00559582178639948838"
"CH*SWIEE27506","Swisscharge","01010000200808000039E661B915E94341FCB7E29F3C833241","1213244.6245532","2609707.44830015","105","18764","100",5,8,"0.00559582178639948838"
"CH*SWIEE27506","Swisscharge","01010000200808000039E661B915E94341FCB7E29F3C833241","1213244.6245532","2609707.44830015","105","18764","100",5,4,"0.00559582178639948838"
"CH*REPE050*01*2","PLUG’N ROLL","0101000020080800006BECC818424545410573C37859AC3141","1158233.47173232","2787972.1936317","92","18792","22.08",5,4,"0.00489570029799914857"
"CH*REPE050*01*2","PLUG’N ROLL","0101000020080800006BECC818424545410573C37859AC3141","1158233.47173232","2787972.1936317","92","18792","22.08",5,4,"0.00489570029799914857"
"CH*REPE050*01*2","PLUG’N ROLL","0101000020080800006BECC818424545410573C37859AC3141","1158233.47173232","2787972.1936317","92","18792","22.08",5,3,"0.00489570029799914857"
"CH*E4U*E00109","easy4you","010100002008080000849DE8D901A7444152A07A72DCD73241","1234908.44718363","2706947.70241136","0","2871","22",4,84,"0.00000000000000000000"
"CH*E4U*E00109","easy4you","010100002008080000849DE8D901A7444152A07A72DCD73241","1234908.44718363","2706947.70241136","0","2871","22",4,82,"0.00000000000000000000"
"CH*E4U*E00109","easy4you","010100002008080000849DE8D901A7444152A07A72DCD73241","1234908.44718363","2706947.70241136","0","2871","22",4,78,"0.00000000000000000000"
"CH*CCI*E20226","Move","010100002008080000E7B2A3BCCB024341A29BF04F1A133141","1119002.31226514","2491799.47374569","3","18347","22",3,22,"0.00016351447103068622"
"CH*CCI*E20226","Move","010100002008080000E7B2A3BCCB024341A29BF04F1A133141","1119002.31226514","2491799.47374569","3","18347","22",3,21,"0.00016351447103068622"
"CH*CCI*E20226","Move","010100002008080000E7B2A3BCCB024341A29BF04F1A133141","1119002.31226514","2491799.47374569","3","18347","22",3,23,"0.00016351447103068622"
"CH*E4U*E00351","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","0","2871","22.08",5,4,"0.00000000000000000000"
"CH*E4U*E00351","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","0","2871","22.08",5,4,"0.00000000000000000000"
"CH*E4U*E00351","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","0","2871","22.08",5,4,"0.00000000000000000000"
"CHEVPE2113","evpass","0101000020080800001F8D8ED095844341DE737EB481703241","1208449.70505451","2558251.62935032","7","18898","22.0",7,14,"0.00037040956714996296"
"CHEVPE2113","evpass","0101000020080800001F8D8ED095844341DE737EB481703241","1208449.70505451","2558251.62935032","7","18898","22.0",7,14,"0.00037040956714996296"
