"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*REPE096*01*2","PLUG’N ROLL","010100002008080000DEDB9A821B394541891C14A66C143241","1184876.64874438","2781751.02035092","22.08",4,14,"0.04312397481348219483"
"CH*REPE096*01*2","PLUG’N ROLL","010100002008080000DEDB9A821B394541891C14A66C143241","1184876.64874438","2781751.02035092","22.08",4,17,"0.04312397481348219483"
"CH*IBA*EAC023","Eniwa","010100002008080000CBC013E1C82F4441CE652EF5E80F3341","1249256.95773922","2645905.75841532","22.2",4,18,"0.00285729403672151966"
"CH*IBA*EAC023","Eniwa","010100002008080000CBC013E1C82F4441CE652EF5E80F3341","1249256.95773922","2645905.75841532","22.2",4,17,"0.00285729403672151966"
"CH*IBA*EAC023","Eniwa","010100002008080000CBC013E1C82F4441CE652EF5E80F3341","1249256.95773922","2645905.75841532","22.2",4,18,"0.00285729403672151966"
"CHEVPE2573","evpass","01010000200808000027E52A968F4B4341D7A12850A0A23141","1155744.31312","2529055.17318406","50.0",3,4,"0.04465844753690671464"
"CHEVPE2573","evpass","01010000200808000027E52A968F4B4341D7A12850A0A23141","1155744.31312","2529055.17318406","50.0",3,3,"0.04465844753690671464"
"CHEVPE2573","evpass","01010000200808000027E52A968F4B4341D7A12850A0A23141","1155744.31312","2529055.17318406","50.0",3,5,"0.04465844753690671464"
"CH*SWIEE7715","Swisscharge","010100002008080000DC601551F8A1434138C3C8E8FCEB3141","1174524.90931339","2573296.63346492","150",5,3,"0.00925974919307899889"
"CH*CCI*EBA*6542*5","Move","010100002008080000D571B555A68B4341B47633D9C0163241","1185472.84844152","2561868.66959975","22",6,185,"0.00911756864836043722"
"CH*CCI*EBA*6542*5","Move","010100002008080000D571B555A68B4341B47633D9C0163241","1185472.84844152","2561868.66959975","22",6,187,"0.00911756864836043722"
